INDUSTRIA,DESCRIPCIÓN DE INDUSTRIA,TEMA,PARÁMETRO DE CONTABILIDAD,CATEGORÍA,UNIDAD DE MEDIDA,CÓDIGO
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Protección de datos,Descripción de las políticas y prácticas relacionadas con la publicidad basada en el comportamiento y la privacidad del cliente,Debate y análisis,n/a,TC-TL-220a.1
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Protección de datos,Número de clientes cuya información se utiliza con propósitos secundarios,Cuantitativo,Número,TC-TL-220a.2
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Protección de datos,Importe total de las pérdidas monetarias como resultado de los procedimientos judiciales relacionados con la privacidad del cliente,Cuantitativo,Divisa para comunicar,TC-TL-220a.3
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Protección de datos,"(1) Número de solicitudes de intervención legal en relación con los datos del cliente, (2) número de usuarios cuya información fue solicitada, (3) porcentaje que dio lugar a la divulgación",Cuantitativo,"Número, porcentaje (%)",TC-TL-220a.4
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Seguridad de los datos,"(1) Número de filtraciones de datos, (2) porcentaje que implica información de identificación personal (PII), (3) número de clientes afectados",Cuantitativo,"Número, porcentaje (%)",TC-TL-230a.1
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Seguridad de los datos,"Descripción del enfoque para identificar y abordar los riesgos para la seguridad de los datos, incluida la utilización de estándares de ciberseguridad de terceros",Debate y análisis,n/a,TC-TL-230a.2
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Gestión del final de la vida útil del producto,"(1) Materiales recuperados a través de programas de recuperación, porcentaje de materiales recuperados que fueron (2) reutilizados, (3) reciclados, y (4) depositados en un vertedero",Cuantitativo,"Toneladas métricas (t), porcentaje (%)",TC-TL-440a.1
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Comportamiento competitivo e Internet abierto,Importe total de las pérdidas monetarias como resultado de los procedimientos judiciales relacionados con las normas de competencia desleal,Cuantitativo,Divisa para comunicar,TC-TL-520a.1
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Comportamiento competitivo e Internet abierto,Velocidad media real de descarga sostenida de (1) contenido propio y comercial y (2) contenido no asociado,Cuantitativo,Megabits por segundo (Mbps),TC-TL-520a.2
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Gestión de los riesgos sistémicos por alteraciones tecnológicas,"Descripción de los riesgos y las oportunidades asociados a la neutralidad de la red, el pago por uso, la tarifa cero y las prácticas relacionadas",Debate y análisis,n/a,TC-TL-520a.3
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Gestión de los riesgos sistémicos por alteraciones tecnológicas,(1) Frecuencia de interrupción media del sistema y (2) duración media de la interrupción del cliente,Cuantitativo,"Interrupciones por cliente, horas por cliente",TC-TL-550a.1
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Gestión de los riesgos sistémicos por alteraciones tecnológicas,Análisis de los sistemas para prestar un servicio sin trabas durante las interrupciones del servicio,Debate y análisis,n/a,TC-TL-550a.2
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Número de abonados de red inalámbrica,Número de abonados de red inalámbrica,Cuantitativo,Número,TC-TL-000.A
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Número de abonados de línea fija,Número de abonados de línea fija,Cuantitativo,Número,TC-TL-000.B
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Número de abonados de banda ancha,Número de abonados de banda ancha,Cuantitativo,Número,TC-TL-000.C
Servicios de telecomunicaciones,"El sector de los servicios de telecomunicaciones consiste en empresas de telecomunicaciones inalámbricas y por cable, así como en empresas que prestan servicios de cable y satélite. El segmento de servicios inalámbricos proporciona comunicación directa a través de redes celulares basadas en radio y opera y mantiene las instalaciones de conmutación y transmisión asociadas. El segmento de servicios por cable proporciona comunicación de voz local y de larga distancia a través de la red telefónica pública conmutada. Las empresas de telefonía por cable también ofrecen servicios de telefonía de voz sobre protocolo de Internet (VoIP), televisión y servicios de Internet de banda ancha a través de una red en expansión de cables de fibra óptica. Los proveedores de cable distribuyen la programación de televisión de las redes de cable a los abonados. También suelen ofrecer a los consumidores servicios de vídeo, servicio de Internet de alta velocidad y VoIP. Estos servicios se agrupan tradicionalmente en paquetes que ofrecen a los abonados opciones de pago más sencillas que el pago de cada servicio por separado. Las empresas de satélites distribuyen la programación de televisión a través de satélites de radiodifusión en órbita alrededor de la tierra o a través de estaciones terrestres. Las empresas atienden a los clientes principalmente en sus mercados nacionales, aunque algunas empresas operan en varios países. Less",Tráfico de red,Tráfico de red,Cuantitativo,Petabytes,TC-TL-000.D
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Emisión de gases de efecto invernadero,Emisiones mundiales brutas de alcance 1,Cuantitativo,Toneladas métricas (t) de CO₂-e,TR-AF-110a.1
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Emisión de gases de efecto invernadero,"Análisis de la estrategia o plan a largo y corto plazo para gestionar las emisiones de alcance 1, objetivos de reducción de emisiones y análisis de los resultados en relación con esos objetivos",Debate y análisis,n/a,TR-AF-110a.2
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Emisión de gases de efecto invernadero,"Combustible consumido por (1) transporte por carretera, porcentaje (a) gas natural y (b) combustibles renovables, y por el (2) transporte aéreo, porcentaje (a) combustibles alternativos y (b) sostenibles",Cuantitativo,"Gigajulios (GJ), porcentaje (%)",TR-AF-110a.3
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Calidad del aire,"Emisiones atmosféricas de los siguientes contaminantes: (1) NOₓ (excluyendo N₂O), (2) SOₓ, y (3) material particulado (PM₁₀)",Cuantitativo,Toneladas métricas (t),TR-AF-120a.1
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Prácticas laborales,Porcentaje de conductores clasificados como contratistas independientes,Cuantitativo,Porcentaje (%),TR-AF-310a.1
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Prácticas laborales,Importe total de las pérdidas monetarias como resultado de los procedimientos judiciales relacionados con las infracciones de la legislación laboral,Cuantitativo,Divisa para comunicar,TR-AF-310a.2
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Salud y seguridad de los empleados,(1) Tasa total de incidentes registrables (TRIR) y (2) tasa de mortalidad para a) empleados directos y b) empleados con contrato,Cuantitativo,Velocidad,TR-AF-320a.1
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Gestión de la cadena de suministro,Porcentaje de transportistas con percentiles BÁSICOS por encima del umbral de intervención de la Administración Federal de Seguridad de Autotransporte (FMCSA) de los Estados Unidos,Cuantitativo,Porcentaje (%),TR-AF-430a.1
Carga aérea y logística,"Las empresas de carga aérea y logística proporcionan servicios de carga y logística de transporte tanto a empresas como a particulares. Dentro del sector, hay tres segmentos principales: el transporte de carga aérea, los servicios postales y de mensajería y los servicios de logística de transporte. Las empresas de la industria obtienen ingresos de uno o más de dichos segmentos, e incluyen tanto a aquellas que no se basan en activos como las que cuentan con un gran capital. Los servicios de logística de transporte incluyen la selección y contratación del transporte adecuado mediante la subcontratación de empresas de transporte por carretera, ferroviario, marítimo y aéreo. Sus servicios también pueden incluir la intermediación aduanera, la gestión de la distribución, la consolidación de proveedores, el seguro de la carga, la gestión de las órdenes de compra y la información logística personalizada. Se tata de un sector fundamental para el comercio mundial, ya que aporta a la demanda un cierto grado de estabilidad. Less",Gestión de la cadena de suministro,Huella total de gases de efecto invernadero (GEI) en todos los medios de transporte,Cuantitativo,Toneladas métricas (t) de CO₂-e por tonelada-kilómetro,TR-AF-430a.2
